Food Item,Dining Location,Cost,Calories,Nuts,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Basil Chicken on Rice,Basil Box,14.95,,,N,N,,N,Y,"Classic Thai dish Pad Kaprao - Lemongrass chcicken pan fried with fish sauce, garlic, Thai basil, served with Jasmine rice",N,Y,N,,Y,Y,,N,,3/24/2026,Rice Bowl
Bean Ragout,Teraanga Commons Dining Hall,,130.0,,T,T,F,T,,"kidney beans, chickpeas, onion, green pepper, carrot, tomato",N,N,,N,,,N,N,,10/6/2025,Stew
Beef Brie Sandwich,Urban Deli,9.9,490.0,,N,N,N,N,N,,N,N,Y,N,N,N,N,Y,,9/26/2025,Sandwich
Beef Gyros Combo,Medi Eats,10.0,,,N,N,N,N,N,,N,N,Y,N,N,,N,Y,,3/24/2026,Shwarma
Beef Gyros Pita with Potatoes,Medi Eats,9.1,900.0,,N,N,N,N,N,,N,N,Y,N,N,,N,Y,,3/24/2026,Shwarma
Beef Quesadilla,Teraanga Commons Dining Hall,,280.0,,F,F,F,F,N,"taco-spiced ground beef, cheddar cheese, tortilla",,N,Y,N,N,,N,Y,,10/6/2025,Quesadilla
Beef Shawarma Combo,Shawarma Palace,14.0,,,N,N,,N,Y,Marinated tender beef shawarma wrapped in fresh pita with choice of toppings and side,N,N,N,N,,N,N,Y,,9/26/2025,Shawarma
Beef Shawarma Plate,Shawarma Palace,20.0,,,N,N,,N,Y,,N,N,N,N,,N,N,N,,9/26/2025,Shawarma
Beef Shawarma Sandwich,Shawarma Palace,9.5,,,N,N,,N,Y,,N,N,N,N,,N,N,Y,,9/26/2025,Shawarma
Beets & Fris̩e,Riverbank Social,12.0,,,N,Y,N,Y,N,"Local red beets, Frisee, blue cheese, labneh, toasted pecans",N,N,Y,N,N,N,Y,N,N,1/13/2026,Green Salad
Belgian Li̬ge Waffle,Starbucks,3.35,220.0,,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Waffle
Big Bean Quesadilla,La Cocina,9.8,800.0,,N,N,Y,Y,N,"marinated black beans, refried beans, pico de gallo monterey jack cheese and sour cream on the side",N,N,Y,N,N,,N,Y,,1/15/2026,Quesadilla
Birthday Cake Pop,Starbucks,3.45,170.0,,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cake Pop
Birthday Cake Timbit,Tim Hortons,0.39,80.0,,N,N,Y,Y,N,"Birthday Cake Timbit: Enriched wheat flour, Water, Palm oil shortening (palm oil and/or modified palm oil), Sugars (sugar, dextrose), Sugar sprinkles, Defatted soy flour, Soybean oil, Skim milk powder, Yellow corn flour, Sodium acid pyrophosphate, Sodium bicarbonate, Monocalcium phosphate, Natural flavour, Dried egg yolks, Whey powder (milk), Salt, Modified corn starch, Potato flour, Soy flour, Wheat starch, Xanthan gum, Soy lecithin, Mono- and diglycerides, Propylene glycol mono- and diesters of fatty acids, Sodium stearoyl lactylate. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum. Rainbow Sprinkles: Sugar, Dextrin, Tapioca starch, Dried glucose syrup, Natural colours, Beet powder, Turmeric, Spirulina extract, Carnauba wax, Glycerin, Gum arabic.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Black Bean Quesadillia,Mike's Place,9.99,,,N,N,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Quesadilla
Black Forest Cake,Teraanga Commons Dining Hall,,190.0,,F,F,F,F,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cake
Black Forest Ham Pita,Rooster's,10.69,,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Black Olives,Teraanga Commons Dining Hall,,25.0,,T,T,F,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Olive
Blackbean Nachos,Mike's Place,8.99,,,N,Y,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Nachos
Blondie,Teraanga Commons Dining Hall,,310.0,,F,F,F,T,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Brownie
