Food Item,Dining Location,Cost,Calories,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Tenders And Fries,Ollies,14,,N,N,Y,N,Y,,N,N,N,N,N,N,N,N,,1/14/2026,Chicken Strips
5 Piece Chicken Wings,Rodney's Kitchen,7.3,510,N,,N,N,Y,,N,N,N,N,,,N,N,,1/13/2026,Chicken Wings
5 Piece Chicken Wings,Colonel by Chicken,7.3,,N,N,Y,N,Y,Five of our delicious chicken wings plus dipping sauce on the side!,N,N,N,N,N,N,N,Y,,1/14/2026,Chicken Wings
5 Piece Chicken Wings Meal,Rodney's Kitchen,13.2,1400,N,,N,N,Y,,N,N,N,N,,,N,N,,1/13/2026,Chicken Wings
Wings - 1Lb,Ollies,14,,N,N,N,N,Y,,N,N,Y,N,N,N,N,Y,,1/14/2026,Chicken Wings
Chickpeas,Teraanga Commons Dining Hall,,70,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Chickpeas
Chilli,Rooster's,7.99,,N,Y,N,N,Y,,N,N,N,N,N,N,N,N,N,1/13/2026,Chilli
Chilli with Bread,Rooster's,8.99,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Chilli and bread
Chips,Leo's Lounge,2.5,,Y,,Y,Y,Y,,N,N,N,N,N,,N,N,,9/26/2025,Chips
Pita Chips,Teraanga Commons Dining Hall,,25,T,F,T,T,N,,N,N,,N,,,N,Y,,10/6/2025,Chips
Pita Chips (1 kilogram),Teraanga Commons Dining Hall,,,T,F,T,T,N,,N,N,,N,,,N,Y,,10/6/2025,Chips
Pita Dippers,Rooster's,6.09,,N,N,Y,Y,,"A generous helping of pita pieces, with two dipping sauces and two veggies of your choice.",N,N,,N,N,N,N,Y,,1/13/2026,Chips
Chicken & Corn Chowder,Teraanga Commons Dining Hall,,,F,F,F,F,N,"A creamy chowder loaded with chicken breast pieces, corn and potatoes.",N,N,Y,N,N,,N,,,10/6/2025,Chowder
Churros,Ollies,8,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/14/2026,Churros
Apple Cabbage Slaw,Teraanga Commons Dining Hall,,60,F,T,T,T,,,,N,,N,,,N,N,,10/6/2025,Coleslaw
Jalapeno Coleslaw (1000 gram),Teraanga Commons Dining Hall,,,F,T,T,T,N,"cabbage, carrot, jalapenos, creamy dressing",N,N,,N,,,N,N,,10/6/2025,Coleslaw
Breakfast Bowl,Riverbank Social,14.99,,N,N,Y,N,N,"House made fries with montreal smoked meat, sauteed peppers, onions, cheese curds, sunnyside up egg and hollandaise sauce",Y,N,N,N,N,,N,,,1/13/2026,Combo
Breakfast Express,Riverbank Social,9.99,,N,N,N,N,N,"Two eggs with toast, fries, bacon or pork sausage",Y,N,N,N,N,N,N,Y,,1/13/2026,Combo
Breakfast Express Deluxe,Riverbank Social,12.75,,N,N,N,N,N,"Two eggs with toast, fries, bacon or pork sausage and fruit",Y,N,N,N,N,N,N,Y,,1/13/2026,Combo
Breakfast Pastries & Fruit,Riverbank Social,9.99,,N,N,Y,Y,,,Y,N,N,,,N,,Y,,1/13/2026,Combo
Chocolate Chip Cookie,Teraanga Commons Dining Hall,,130,F,F,T,T,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cookie
Chocolate Chip Cookie,Tunnel Junction,3.1,390,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Cookie
Chocolate Chip Cookie,Bridgehead,3.65,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Cookie
Chocolate Chunk Cookie,Tim Hortons,1.69,310,N,N,Y,Y,N,"Enriched wheat flour, Sugars (sugar, brown sugar), Butter (milk), Semi-sweet chocolate pieces (unsweetened chocolate, sugar, cocoa butter, soy lecithin, natural flavour), Semi-sweet chocolate chunks (sugar, unsweetened chocolate, dextrose, cocoa butter, soy lecithin, natural flavour), Palm oil margarine, Liquid whole eggs, Water, Modified corn starch, Baking powder, Salt, Sodium bicarbonate, Natural flavour.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Cookie
Chocolate Chunk Cookie,Starbucks,3.65,320,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cookie
Chocolate Chunk Cookie,CT-Pastry,3,390,N,N,Y,Y,N,,Y,N,Y,N,N,,N,Y,,9/26/2025,Cookie
Double Chocolate Cookie,Teraanga Commons Dining Hall,,160,F,F,T,T,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cookie
Fox Cookie,Starbucks,3.95,320,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cookie
Ginger Cookie,Bridgehead,3.55,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Cookie
Ginger Molasses Cookie,Starbucks,3.65,350,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Cookie
Granola Cookie,Bridgehead,3.75,,Y,N,Y,Y,N,,Y,N,Y,,N,N,Y,Y,,9/24/2025,Cookie
Lemon Cookie,Teraanga Commons Dining Hall,,70,F,F,F,F,N,,,N,Y,N,N,,N,Y,,10/6/2025,Cookie
Oatmeal Raisin Cookie,Teraanga Commons Dining Hall,,120,F,F,T,T,N,,,N,,N,N,,N,,,10/6/2025,Cookie
Oreo Chunk Cookie,Tim Hortons,1.69,310,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten, Soy, Egg May Contain: Tree Nuts, Peanuts",Y,N,Y,,N,Y,,Y,,9/25/2025,Cookie
Peanut Butter Bite,Bridgehead,2.35,,N,N,Y,Y,N,,,N,Y,Y,N,N,,Y,,9/24/2025,Cookie
Peanut Butter Cookie,Bridgehead,3.75,,Y,N,Y,Y,N,,Y,N,Y,Y,N,N,,Y,,9/24/2025,Cookie
Raisin Tea Biscuit,Tim Hortons,2.29,250,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten May Contain: Sulphites, Soy, Egg",,N,Y,N,N,,N,Y,,9/25/2025,Cookie
Raspberry Scone,Bridgehead,4.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Cookie
